LR = 0.001   , 1      , 2      , 3      , 4      , 5      , 6
diode_left   , 0.8170 , 0.8571 , 0.9048 , 0.7143 , 0.9048 , 0.9048
diode_top    , 1.0000 , 1.0000 , 0.9048 , 1.0000 , 0.9048 , 1.0000
diode_right  , 0.9337 , 0.6071 , 0.7857 , 0.8929 , 0.6786 , 0.7500
diode_bot    , 0.8667 , 0.8667 , 0.8667 , 0.9333 , 0.8000 , 1.0000
res_de_hor   , 0.8966 , 0.8966 , 0.8966 , 0.8966 , 0.8966 , 0.8966
res_de_ver   , 0.9857 , 0.9929 , 0.8687 , 0.9242 , 0.8788 , 0.9356
cap_hor      , 0.8667 , 0.9958 , 0.8667 , 0.9922 , 1.0000 , 0.9875
cap_ver      , 0.9343 , 0.8750 , 0.9412 , 0.8713 , 0.9273 , 0.8750
gr_left      , 1.0000 , 1.0000 , 1.0000 , 1.0000 , 1.0000 , 0.9200
gr_top       , 0.9375 , 0.8750 , 0.8906 , 0.8125 , 0.8750 , 0.8125
gr_right     , 0.8125 , 0.8125 , 0.8125 , 0.8750 , 0.8750 , 0.9375
gr_bot       , 1.0000 , 0.9444 , 1.0000 , 0.9444 , 1.0000 , 0.9444
ind_de_hor   , 1.0000 , 1.0000 , 1.0000 , 1.0000 , 1.0000 , 1.0000
ind_de_ver   , 0.9429 , 0.9429 , 0.9429 , 0.8857 , 0.9412 , 0.9429
source_hor   , 0.8857 , 0.9429 , 0.8857 , 0.8138 , 0.9429 , 0.8857
source_ver   , 0.9649 , 0.8947 , 0.9649 , 0.9298 , 0.9298 , 0.8947
current_hor  , 1.0000 , 1.0000 , 1.0000 , 1.0000 , 0.9308 , 0.8235
current_ver  , 0.9565 , 1.0000 , 0.9565 , 0.8696 , 0.9130 , 0.9565
text         , 0.7878 , 0.7268 , 0.5887 , 0.6916 , 0.6901 , 0.6924
arrow_left   , 0.3000 , 0.3000 , 0.4000 , 0.3000 , 0.3000 , 0.4000
arrow_top    , 0.2069 , 0.2069 , 0.2069 , 0.2759 , 0.2759 , 0.0690
arrow_right  , 0.4400 , 0.4000 , 0.4000 , 0.3600 , 0.3040 , 0.2400
arrow_bot    , 0.4500 , 0.4500 , 0.3278 , 0.5346 , 0.5000 , 0.1933
mAP@0.5      , 0.8254 , 0.8081 , 0.8005 , 0.8051 , 0.8030 , 0.7853
